Company,Level,Tag,Years of Experience,Total Compensation
Fidelity Investments,L6,Full Stack,12  yrs,"$190,000"
Morgan Stanley,L4,ML / AI,2  yrs,"$125,000"
Zillow,P4,API Development (Back-End),10  yrs,"$277,000"
Amazon,SDE II,ML / AI,6  yrs,"$347,000"
N/A,N/A,N/A,N/A,N/A
ByteDance,2-2,Mobile (iOS + Android),4  yrs,"$310,000"
Microsoft,Senior SDE,Web Development (Front-End),5  yrs,"$239,000"
Microsoft,SDE II,DevOps,8  yrs,"$260,000"
HPE,Expert,Data,15  yrs,"$152,000"
Google,L3,AR / VR,4  yrs,"$190,000"
Review your resume with a recruiterStart ReviewStart,N/A,N/A,N/A,N/A
Facebook,E3,API Development (Back-End),0  yrs,"$178,500"
Amazon,SDE III,API Development (Back-End),10  yrs,"$350,000"
Ramp,Software Engineer,Full Stack,4  yrs,"$260,000"
N/A,-,hidden,3  yrs,"$176,800"
Cisco,Principal Engineer,Full Stack,25  yrs,"$560,300"
Two Sigma,L4,General,18  yrs,"$220,000"
N/A,hidden,hidden,5-10  yrs,"$100,000"
Capital One,Senior Software Eng,Full Stack,7  yrs,"$187,700"
Carvana,Senior Engineer I,Web Development (Front-End),8  yrs,"$165,315"
CodaMetrix,L2,Distributed Systems (Back-End),7  yrs,"$136,225"
Hashgraph,Level 1,Blockchain,1  yr,"$130,000"
JPMorgan Chase,Associate,Web Development (Front-End),3  yrs,"$124,000"
IBM,Senior Engineer,Distributed Systems (Back-End),5  yrs,"$220,000"
Textron,Entry Level,Full Stack,0  yrs,"$93,000"
HubSpot,Senior Software Engineer I,Distributed Systems (Back-End),8  yrs,"$231,666"
Red Hat,hidden,hidden,2-4  yrs,"$112,000"
The Aerospace Cor...,Senior Software Engineer,Full Stack,8  yrs,"$125,000"
HPE,Intermediate,Distributed Systems (Back-End),2  yrs,"$147,800"
January Technologies,L4,Full Stack,3  yrs,"$140,000"
Microsoft,SDE,Full Stack,1  yr,"$159,000"
Paycor,L2,API Development (Back-End),6  yrs,"$125,000"
Google,L3,Networking,7  yrs,"$265,000"
Amazon,SDE I,ML / AI,0  yrs,"$147,900"
Valtech,Senior,API Development (Back-End),12  yrs,"$120,000"
Amazon,Principal,Web Development (Front-End),15  yrs,"$390,000"
Microsoft,66,Distributed Systems (Back-End),22  yrs,"$378,705"
Google,L3,Web Development (Front-End),4  yrs,"$250,000"
CS Disco,L4,API Development (Back-End),22  yrs,"$259,000"
N/A,-,DevOps,7  yrs,"$75,500"
Qualcomm,Staff Engineer,Mobile (iOS + Android),7  yrs,"$252,000"
Aspen Technology,2,Full Stack,3  yrs,"$83,900"
Nvidia,IC2,DevOps,5  yrs,"$245,000"
Charles Schwab,55,API Development (Back-End),4  yrs,"$116,600"
Okta,Senior Software Engineer,Distributed Systems (Back-End),7  yrs,"$214,500"
Cruise,L4,Distributed Systems (Back-End),7  yrs,"$292,000"
Jacobs,L2,Full Stack,1  yr,"$110,000"
N/A,Senior,Web Development (Front-End),7  yrs,"$125,000"
Barclays,BA6,API Development (Back-End),14  yrs,"$200,000"
Battelle,T1,Full Stack,1  yr,"$68,000"
Salesforce,Lead MTS,Full Stack,8  yrs,"$329,000"
N/A,-,Full Stack,15  yrs,"$156,000"
Pinterest,IC16,ML / AI,16  yrs,"$660,000"
N/A,L4,Data,10  yrs,"$125,000"
Microsoft,62,Distributed Systems (Back-End),9  yrs,"$227,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
JPMorgan Chase,Analyst,Full Stack,3  yrs,"$100,000"
Broadcom,ICB 3,General,3  yrs,"$357,000"
84.51˚,G3,Full Stack,7  yrs,"$158,922"
MITRE,Intermediate Software Engineer,ML / AI,1  yr,"$138,000"
Google,L5,Distributed Systems (Back-End),8  yrs,"$340,000"
Hightouch,"Engineer + PM, AI",AI Team,1-10,N/A
BNY Mellon,E,Full Stack,0  yrs,"$100,000"
SAS Software,-,Security,14  yrs,"$254,204"
Liberty Mutual,Software Engineer,Full Stack,3  yrs,"$121,900"
Exact Sciences,L3,Data,2-4  yrs,"$115,000"
Comcast,Engineer 2,Data,3  yrs,"$80,000"
N/A,L5,API Development (Back-End),8  yrs,"$240,000"
Jump Trading,L1,General,3  yrs,"$350,000"
Trucker Tool,-,Web Development (Front-End),5  yrs,"$160,000"
Aya Healthcare,L3,Full Stack,10  yrs,"$167,500"
Cruise,L5,Data,10  yrs,"$380,000"
Snap,L4,Security,5  yrs,"$370,000"
Netflix,L5,Mobile (iOS + Android),10  yrs,"$450,000"
IBM,1,1,1  yr,"$106,000"
Snowflake,IC3,Security,8  yrs,"$463,500"
Merilytics,-,Data,2  yrs,"$100,000"
Google,L3,Security,4  yrs,"$230,000"
N/A,Senior,Web Development (Front-End),8  yrs,"$150,000"
Magna International,L7,Embedded,18  yrs,"$140,000"
Microsoft,SDE,Full Stack,0  yrs,"$143,250"
Rivian,RIV-6,Vehicle Applications,7  yrs,"$379,000"
N/A,-,Testing (SDET),4  yrs,"$90,000"
Amazon,SDE II,Full Stack,8  yrs,"$274,000"
Corptax,L2,Testing (SDET),8  yrs,"$133,000"
Amazon,SDE I,-,0  yrs,"$177,683"
Flatiron Health,E3,Data,4  yrs,"$163,000"
Bank of America,Software Engineer 1,Full Stack,0  yrs,"$107,500"
JPMorgan Chase,Vice President,Data,19  yrs,"$155,000"
Jane Street,L4,General,4  yrs,"$300,000"
Amazon,SDE II,Full Stack,6  yrs,"$250,000"
Copart,L1,API Development (Back-End),2  yrs,"$110,000"
Groq,hidden,hidden,0-1  yrs,"$100,000"
Light & Wonder,Senior Advanced Software Engineer,Game Development,13  yrs,"$199,930"
Navitus,Mid Level,API Development (Back-End),4  yrs,"$93,000"
Labelbox,L3,Full Stack,10  yrs,"$225,000"
Dropbox,IC2,Full Stack,4  yrs,"$263,000"
Modern Treasury,L4,hidden,5-10  yrs,"$222,000"
Google,L3,Distributed Systems (Back-End),2  yrs,"$230,500"
Hughes,L3,Distributed Systems (Back-End),2  yrs,"$97,500"
Motorola Solutions,E08,Full Stack,5  yrs,"$140,000"
Facebook,E4,DevOps,3  yrs,"$277,700"
Amazon,SDE II,Data,7  yrs,"$205,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Union Pacific,Senior,API Development (Back-End),16  yrs,"$190,000"
Wells Fargo,L4,Distributed Systems (Back-End),16  yrs,"$247,000"
Jump Trading,hidden,hidden,2-4  yrs,"$400,000"
Publix,L3,Full Stack,2-4  yrs,"$118,800"
Google,L3,Full Stack,0  yrs,"$157,500"
Thoughtful,Software Engineer,,N/A,N/A
Yahoo,Senior Principal SE,Data,19  yrs,"$319,000"
Microsoft,60,Networking,3  yrs,"$207,000"
Apple,ICT3,API Development (Back-End),5  yrs,"$245,000"
Headway.co,L3,Production,0  yrs,"$140,000"
Autodesk,Software Engineer 3,Full Stack,6  yrs,"$166,400"
Capital One,Associate Software Eng,Full Stack,0  yrs,"$145,100"
Amplitude,Staff Software Engineer,Distributed Systems (Back-End),7  yrs,"$420,400"
Microsoft,62,Distributed Systems (Back-End),5  yrs,"$200,500"
Apple,ICT2,DevOps,2  yrs,"$110,000"
The Home Depot,Senior Software Engineer,Full Stack,7  yrs,"$134,000"
Riot Games,P4,Game Development,18  yrs,"$304,425"
Riot Games,P4,Game Development,18  yrs,"$265,100"
Pinterest,IC15,ML / AI,5  yrs,"$397,037"
OpenAI,hidden,hidden,0-1  yrs,"$235,000"
Kitware,L1,General,1  yr,"$75,000"
N/A,Staff Software Engineer,"Applications (Salesforce, Workday, etc)",7  yrs,"$140,000"
JPMorgan Chase,Vice President,ML / AI,7  yrs,"$225,000"
Facebook,E4,Mobile (iOS + Android),5  yrs,"$354,450"
Microsoft,66,Production,13  yrs,"$542,500"
Northrop Grumman,T3,Full Stack,5  yrs,"$141,000"
Lockheed Martin,E1,API Development (Back-End),3  yrs,"$94,000"
Intel,Grade 6,Production,8  yrs,"$188,200"
The Washington Post,Senior Software Engineer,API Development (Back-End),8  yrs,"$158,000"
Google,L4,API Development (Back-End),7  yrs,"$308,000"
Wish,L6,Full Stack,8  yrs,"$520,000"
Bloomberg,Senior Software Engineer,Data,8  yrs,"$280,000"
Google,L4,Distributed Systems (Back-End),7  yrs,"$308,000"
Amazon,SDE II,Web Development (Front-End),7  yrs,"$225,000"
ECS,L3,Full Stack,16  yrs,"$159,256"
JPMorgan Chase,Associate,Distributed Systems (Back-End),6  yrs,"$135,500"
HPE,Expert,Distributed Systems (Back-End),7  yrs,"$280,000"
N/A,L2,DevOps,5  yrs,"$110,000"
Expedia,L5,Data,10  yrs,"$210,000"
Salesforce,Lead MTS,Full Stack,14  yrs,"$276,000"
Applied Systems,L3,Full Stack,2  yrs,"$112,000"
TaxBit,Senior,Distributed Systems (Back-End),6  yrs,"$200,000"
Eightfold,Senior Software Engineer,Distributed Systems (Back-End),5  yrs,"$160,000"
Sovos,Senior,API Development (Back-End),12  yrs,"$36,000"
Apple,ICT4,Data,9  yrs,"$375,000"
Asurion,Software Engineer 3,Full Stack,10  yrs,"$170,000"
N/A,Senior,Full Stack,15  yrs,"$250,000"
Ford Motor,GSR 6,API Development (Back-End),5  yrs,"$117,000"
NYU,-,Full Stack,1  yr,"$37,440"
AVEVA,Software Engineer II,Distributed Systems (Back-End),4  yrs,"$113,400"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,27,Full Stack,3  yrs,"$119,700"
Gopuff,L5,Full Stack,13  yrs,"$243,200"
Infosys,JL6B,Data,11  yrs,"$115,000"
N/A,1,DevOps,1  yr,"$90,000"
Truveta,IC3,ML / AI,7  yrs,"$166,000"
"Negotiate up, or your money back+$25k+$19k+$13kNegotiate your offerMake More",N/A,N/A,N/A,N/A
Amazon,SDE II,Full Stack,2  yrs,"$204,000"
The Hartford,L2,Full Stack,2-4  yrs,"$93,500"
Slalom Build,Senior Engineer,Data,4  yrs,"$150,000"
Capital One,Associate Software Eng,Distributed Systems (Back-End),3  yrs,"$130,000"
Google,L4,Full Stack,6  yrs,"$295,551"
Broadcom,ICB 4,Distributed Systems (Back-End),5  yrs,"$457,500"
Qualcomm,Staff Engineer,Mobile (iOS + Android),12  yrs,"$285,000"
American Express,Software Engineer I,API Development (Back-End),6  yrs,"$180,000"
Amazon,SDE II,API Development (Back-End),5  yrs,"$260,900"
Microsoft,67,Distributed Systems (Back-End),20  yrs,"$725,000"
Facebook,E6,Data,9  yrs,"$476,000"
Garmin,Software Engineer II,Embedded UI,2  yrs,"$102,000"
AMD,Principal MTS,Testing (SDET),18  yrs,"$280,000"
Walmart Global Tech,Software Engineer 2,DevOps,5  yrs,"$190,000"
SAIC,L3,Full Stack,6  yrs,"$130,000"
N/A,4,Full Stack,7  yrs,"$136,000"
Komatsu,L3,Full Stack,0  yrs,"$100,000"
Cisco,Software Engineer IV,Networking,9  yrs,"$254,700"
DHI Group,L2,Web Development (Front-End),8  yrs,"$111,500"
Nutanix,MTS4,Testing (SDET),8  yrs,"$230,000"
Thermo Fisher Sci...,Software Engineer III,Research,14  yrs,"$124,260"
Amazon,SDE II,Web Development (Front-End),9  yrs,"$240,000"
JuliaHub,hidden,hidden,2-4  yrs,"$152,500"
N/A,L1,Embedded,4  yrs,"$100,800"
G2 Software Systems,L0,Full Stack,1  yr,"$108,784"
Amazon,SDE II,Research,6  yrs,"$385,000"
N/A,L3,Distributed Systems (Back-End),5  yrs,"$152,500"
Cisco,Software Engineer 1,Full Stack,2  yrs,"$100,800"
Northrop Grumman,T3,Embeded,17  yrs,"$115,000"
Microsoft,SDE II,Security,6  yrs,"$195,000"
Google,L7,ML / AI,18  yrs,"$790,000"
Target,L5,API Development (Back-End),7  yrs,"$115,500"
Accruent,Senior,Full Stack,8  yrs,"$162,000"
Nokia,JG7,Distributed Systems (Back-End),1  yr,"$100,250"
Chainguard,L1,Security,1  yr,"$115,000"
Google,L3,Data,6  yrs,"$170,000"
FullStory,hidden,hidden,5-10  yrs,"$228,000"
VMware,Senior MTS,Distributed Systems (Back-End),20  yrs,"$220,000"
Google,L3,Full Stack,2  yrs,"$112,123"
Facebook,E5,Full Stack,4  yrs,"$555,400"
LevelTen Energy,L4,Data,7  yrs,"$244,000"
Visa,Staff Software Engineer,Full Stack,11  yrs,"$160,000"
Google,L4,API Development (Back-End),5  yrs,"$237,500"
Kyndryl,Band 7,ML / AI,5  yrs,"$131,000"
PulsePoint,hidden,hidden,2-4  yrs,"$64,000"
N/A,N/A,N/A,N/A,N/A
Glean,L4,Full Stack,6  yrs,"$225,000"
JPMorgan Chase,Analyst,Web Development (Front-End),2  yrs,"$120,000"
N/A,Entry Level,Avionics Testing,1  yr,"$75,000"
Amazon,SDE II,Data,5  yrs,"$208,000"
Amazon,SDE II,Distributed Systems (Back-End),7  yrs,"$283,000"
"Negotiate up, or your money back+$25k+$19k+$13kNegotiate your offerMake More",N/A,N/A,N/A,N/A
Wells Fargo,L4,Data,15  yrs,"$182,000"
The Home Depot,Staff Software Engineer,API Development (Back-End),8  yrs,"$184,300"
Facebook,E6,Distributed Systems (Back-End),18  yrs,"$950,000"
Amazon,SDE II,Data,2  yrs,"$204,000"
American Express,Band 30,Web Development (Front-End),4  yrs,"$110,000"
Procter & Gamble,B1,DevOps,1  yr,"$220,000"
Google,L5,Cloud,20  yrs,"$405,000"
Amazon,SDE III,ML / AI,8  yrs,"$345,000"
PNC,C2,API Development (Back-End),2  yrs,"$75,000"
Apple,ICT5,AR / VR,15  yrs,"$488,000"
GoodRx,L3,Data,4  yrs,"$205,000"
Amazon,SDE II,Full Stack,7  yrs,"$317,000"
Applied Intuition,Senior Software Engineer,DevOps,7  yrs,"$330,000"
1stdibs,L2,API Development (Back-End),3  yrs,"$123,000"
Atlassian,P50,Distributed Systems (Back-End),20  yrs,"$436,000"
Medtronic LABS,L5,Testing (SDET),14  yrs,"$170,000"
Amazon,SDE III,Data,10  yrs,"$500,000"
Visa,Software Engineer,Distributed Systems (Back-End),2  yrs,"$139,880"
Microsoft,62,Networking,3  yrs,"$230,000"
Google,L5,Distributed Systems (Back-End),11  yrs,"$447,000"
Akuna Capital,Junior Software Engineer,Full Stack,1  yr,"$130,000"
Disney,Senior Software Engineer,API Development (Back-End),10  yrs,"$232,750"
Mercedes-Benz,P2,Distributed Systems (Back-End),15  yrs,"$189,000"
AMD,Software Engineer II,Research,1  yr,"$126,667"
PayPal,T24,Distributed Systems (Back-End),4  yrs,"$178,000"
EigenLayer,L3,Full Stack,7  yrs,"$820,000"
Amazon,SDE I,ML / AI,2  yrs,"$189,000"
Amazon,SDE I,Full Stack,3  yrs,"$230,453"
AMD,Software Engineer II,Full Stack,0  yrs,"$97,000"
Abbott,Software Engineer V,ML / AI,6  yrs,"$470,000"
American Express,Band 40,API Development (Back-End),9  yrs,"$255,000"
N/A,L3,Full Stack,7  yrs,"$180,000"
Google,L3,DevOps,1  yr,"$230,000"
Amazon,SDE II,Distributed Systems (Back-End),22  yrs,"$395,000"
Raymond James,Senior Engineer,Full Stack,14  yrs,"$137,000"
Hebbia,P4,Full Stack,4  yrs,"$317,440"
Google,L5,ML / AI,7  yrs,"$309,000"
AVER,L4,Security,7  yrs,"$180,000"
SpaceX,L2,Embedded,6  yrs,"$276,000"
Google,L4,DevOps,22  yrs,"$366,000"
State Farm,RE4,API Development (Back-End),3  yrs,"$110,000"
Northrop Grumman,T3,Testing (SDET),6  yrs,"$136,000"
Siemens Plm Software,Engineer,"Applications (Salesforce, Workday, etc)",1  yr,"$119,000"
Cotiviti,Principal,Data,15  yrs,"$131,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
L3Harris,Specialist Software Engineer,Distributed Systems (Back-End),4  yrs,"$114,000"
Enterprise Products,hidden,hidden,5-10  yrs,"$290,000"
Cisco,Software Engineer III,Distributed Systems (Back-End),2  yrs,"$164,000"
Netskope,Software Engineer 3,Distributed Systems (Back-End),5  yrs,"$150,000"
Lockheed Martin,E1,DevOps,0  yrs,"$87,000"
Otter,Mobile & Backend Engineer,,N/A,N/A
Motorola Solutions,E08,Testing (SDET),10  yrs,"$124,000"
Google,L3,ML / AI,0  yrs,"$212,500"
Microsoft,Principal SDE,Research,9  yrs,"$250,000"
HPE,Master,Security,20  yrs,"$300,000"
LinkedIn,Senior Software Engineer,Full Stack,10  yrs,"$300,000"
Glowforge,hidden,hidden,2-4  yrs,"$161,000"
Infosys,JL4,Web Development (Front-End),4  yrs,"$80,000"
Google,L4,ML / AI,0  yrs,"$269,300"
LeetCode,L5,Full Stack,15  yrs,"$400,000"
Fidelity Investments,L5,Full Stack,7  yrs,"$185,100"
Walmart Global Tech,Staff Software Engineer,Web Development (Front-End),15  yrs,"$292,000"
Amazon,SDE II,Distributed Systems (Back-End),5  yrs,"$260,000"
Fidelity Investments,L4,Full Stack,3  yrs,"$126,386"
Amazon,SDE I,Fintech,1  yr,"$207,008"
PacificSource,L2,API Development (Back-End),3  yrs,"$87,700"
Bloomberg,Senior Software Engineer,Distributed Systems (Back-End),3  yrs,"$231,000"
Staples,L5,Distributed Systems (Back-End),17  yrs,"$191,000"
Incedo,3A,Data,2  yrs,"$80,000"
GoDaddy,SDE 2,API Development (Back-End),3  yrs,"$160,000"
Google,L5,Distributed Systems (Back-End),6  yrs,"$388,652"
Amazon,SDE I,AWS S3,2  yrs,"$176,828"
Goldman Sachs,Associate,Full Stack,3  yrs,"$123,000"
BNY Mellon,K,DevOps,5  yrs,"$168,000"
Strava,L2,Distributed Systems (Back-End),3  yrs,"$195,000"
GEICO,Software Engineer II,Distributed Systems (Back-End),1  yr,"$132,000"
PayLead,43,Web Development (Front-End),5  yrs,"$212,121"
Fidelity Investments,L4,Full Stack,3  yrs,"$111,150"
Google,L5,Production,9  yrs,"$290,000"
N/A,L3,Full Stack,6  yrs,"$120,000"
Ample,-,hidden,3  yrs,"$140,000"
Capital One,Senior Software Eng,Full Stack,7  yrs,"$153,650"
Bloomberg,Software Engineer,Full Stack,1  yr,"$194,250"
Google,L3,API Development (Back-End),1  yr,"$206,875"
DISH Network,Senior Software Engineer,Web Development (Front-End),3  yrs,"$107,000"
Google,L3,Cloud,0  yrs,"$204,700"
N/A,AP3,API Development (Back-End),7  yrs,"$87,000"
N/A,Entry,ML / AI,0  yrs,"$83,200"
HCSC,Mid,Data,3  yrs,"$120,400"
Wayfair,L2,ML / AI,3  yrs,"$220,000"
Amazon,SDE III,Distributed Systems (Back-End),7  yrs,"$350,000"
Workday,P2,Distributed Systems (Back-End),2  yrs,"$164,673"
Amazon,SDE II,API Development (Back-End),4  yrs,"$251,000"
Avride,17,DevOps,8  yrs,"$151,906"
BAE Systems,L3,Testing (SDET),4  yrs,"$130,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Visa,Staff Software Engineer,API Development (Back-End),11  yrs,"$227,000"
Slalom Build,Engineer,Full Stack,3  yrs,"$101,300"
1-800 Contacts,L3,API Development (Back-End),4  yrs,"$130,000"
Fidelity Investments,L5,Full Stack,16  yrs,"$136,000"
Eaton,L2,DevOps,6  yrs,"$130,000"
Hightouch,"Engineer + PM, AI",AI Team,1-10,N/A
CGI,L1,Full Stack,1  yr,"$76,000"
Peraton,Associate,Web Development (Front-End),1  yr,"$95,000"
Optum,GL28,ML / AI,3  yrs,"$150,000"
Facebook,E4,Distributed Systems (Back-End),6  yrs,"$327,000"
Splunk,Senior Software Engineer,Full Stack,8  yrs,"$380,147"
Oracle,IC-3,Distributed Systems (Back-End),7  yrs,"$200,700"
Intel,Grade 8,System level,12  yrs,"$269,000"
Microsoft,SDE II,API Development (Back-End),1  yr,"$210,000"
Google,L4,API Development (Back-End),3  yrs,"$247,000"
N/A,hidden,hidden,2-4  yrs,"$78,000"
EPAM Systems,L4,Data,8  yrs,"$179,100"
HCSS,hidden,hidden,2-4  yrs,"$90,000"
Bloomberg,Senior Software Engineer,Distributed Systems (Back-End),6  yrs,"$338,000"
Apple,ICT4,AR / VR,7  yrs,"$336,000"
Microsoft,60,Full Stack,2  yrs,"$196,532"
HubSpot,Software Engineer,API Development (Back-End),0  yrs,"$168,250"
Alkami,hidden,hidden,11+  yrs,"$273,200"
Jack Henry & Asso...,Senior Engineer,Distributed Systems (Back-End),23  yrs,"$127,044"
Stripe,L2,Distributed Systems (Back-End),2  yrs,"$305,000"
Costco Wholesale,L2,Full Stack,4  yrs,"$107,000"
N/A,hidden,hidden,2-4  yrs,"$90,000"
Allvue Systems,L5,API Development (Back-End),9  yrs,"$208,000"
Paycom,L3,Full Stack,2  yrs,"$120,000"
Block,Level 4,Mobile (iOS + Android),5  yrs,"$205,000"
FullStory,Level 30,Web Development (Front-End),10  yrs,"$210,000"
N/A,-,hidden,6  yrs,"$120,000"
Raytheon,P3,Networking,5  yrs,"$105,000"
Rivian,RIV-5,Distributed Systems (Back-End),7  yrs,"$232,500"
Gamma Technologies,Senior Engineer,Full Stack,5  yrs,"$118,000"
Vivint,Staff,Distributed Systems (Back-End),5  yrs,"$154,186"
N/A,L3,DevOps,6  yrs,"$130,000"
Cirrus Logic,L2,Production,5  yrs,"$138,000"
N/A,L3,Security,5  yrs,"$141,000"
Qt,L3,Testing (SDET),1  yr,"$138,889"
Google,L5,Distributed Systems (Back-End),10  yrs,"$362,000"
Nomura,L2,Data,10  yrs,"$170,000"
McKinsey,L2,Data,8  yrs,"$152,000"
Audible,L5,Data,10  yrs,"$161,000"
N/A,L3,Embedded Systems,6  yrs,"$156,000"
Crown Equipment,L4,Vehicle Controls,11  yrs,"$132,000"
Booz Allen Hamilton,Staff Engineer,Research,7  yrs,"$115,000"
Google,L4,Distributed Systems (Back-End),5  yrs,"$296,297"
N/A,Senior,API Development (Back-End),12  yrs,"$176,000"
Akamai,Senior Software Engineer 1,Cloud,5  yrs,"$180,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,L2,Distributed Systems (Back-End),2  yrs,"$90,000"
Intel,Grade 6,Full Stack,7  yrs,"$138,000"
Headstorm,Senior Consultant,Full Stack,5  yrs,"$96,000"
FreedomPay,Mid Level,Full Stack,8  yrs,"$126,000"
N/A,L4,Full Stack,12  yrs,"$224,000"
Review your resume with a recruiterStart ReviewStart,N/A,N/A,N/A,N/A
N/A,L3,Data,7  yrs,"$100,000"
Amazon,SDE II,Web Development (Front-End),8  yrs,"$260,000"
Raytheon,P3,General,7  yrs,"$133,000"
Automation Anywhere,L2,Web Development (Front-End),4  yrs,"$163,000"
N/A,hidden,hidden,11+  yrs,"$131,352"
Amazon,SDE I,Data,0  yrs,"$175,183"
ByteDance,1-2,Distributed Systems (Back-End),2  yrs,"$149,000"
N/A,-,hidden,8  yrs,"$160,000"
Fannie Mae,Associate,API Development (Back-End),4  yrs,"$120,000"
N/A,S2,DevOps,5  yrs,"$90,000"
Walgreens Boots A...,L4,Mobile (iOS + Android),4  yrs,"$125,000"
nCino,P3,Full Stack,5  yrs,"$136,000"
Away,L2,Data,8  yrs,"$160,000"
Maximus,Senior,Full Stack,7  yrs,"$145,000"
Google,L5,Distributed Systems (Back-End),11  yrs,"$405,000"
Ally,Principal Software Engineer,Full Stack,10  yrs,"$171,000"
HPE,Expert Engineer,Distributed Systems (Back-End),8  yrs,"$161,000"
N/A,L2,Distributed Systems (Back-End),5  yrs,"$87,500"
Egen,Senior Software Engineer,API Development (Back-End),5-10  yrs,"$120,000"
Green Street,L2,Web Development (Front-End),5  yrs,"$115,000"
Intel,Grade 3,Data,0  yrs,"$100,000"
Infosys,JL4,Data,2  yrs,"$100,000"
Amazon,SDE II,Research,0  yrs,"$440,000"
Adobe,Software Engineer 5,API Development (Back-End),15  yrs,"$413,250"
Vail Systems,L4,Full Stack,5  yrs,"$125,000"
Southwest Researc...,PL1,hidden,0-1  yrs,"$83,000"
Google,L7,Full Stack,18  yrs,"$735,000"
State Farm,RE2,Data,5  yrs,"$114,000"
E2open,L2,Full Stack,7  yrs,"$78,000"
Allscripts,L5,API Development (Back-End),27  yrs,"$200,000"
Intel,Grade 9,ML / AI,5  yrs,"$380,000"
VMware,Senior MTS,API Development (Back-End),4  yrs,"$210,000"
Sitecore,L3,Security,6  yrs,"$189,250"
Google,L5,Data,9  yrs,"$278,000"
Target,L4,Distributed Systems (Back-End),4  yrs,"$90,000"
Northrop Grumman,T4,Physics,8  yrs,"$169,867"
Fearless,hidden,hidden,5-10  yrs,"$143,000"
Amazon,SDE II,Research,10  yrs,"$382,500"
Citi,C10,Full Stack,0  yrs,"$102,500"
MGM Resorts Inter...,IC2,"Applications (Salesforce, Workday, etc)",4  yrs,"$125,000"
Nextworld,SE1,API Development (Back-End),2  yrs,"$95,000"
Lockheed Martin,E2,General,3  yrs,"$101,000"
Moveworks,L4,ML / AI,3  yrs,"$200,000"
Capital Group,Software Engineer 1,Full Stack,1  yr,"$45,000"
Arizona State Uni...,1,Testing (SDET),5  yrs,"$75,000"
N/A,N/A,N/A,N/A,N/A
State Farm,RE2,Full Stack,2  yrs,"$104,500"
First Command,L2,Full Stack,10  yrs,"$110,000"
Pure Storage,MTS5,Distributed Systems (Back-End),8  yrs,"$479,000"
N/A,hidden,hidden,2-4  yrs,"$55,000"
Google,L3,DevRel,0  yrs,"$125,000"
Review your resume with a recruiterStart ReviewStart,N/A,N/A,N/A,N/A
Mindex,Associate,API Development (Back-End),3  yrs,"$84,000"
N/A,L3,Full Stack,4  yrs,"$106,000"
Bentley Systems,L2,DevOps,5  yrs,"$105,000"
Koddi,L3,API Development (Back-End),2  yrs,"$103,000"
ByteDance,2-2,Testing (SDET),6  yrs,"$310,000"
Florida Blue,L2,Web Development (Front-End),8  yrs,"$115,000"
Capital One,L3,Testing (SDET),7  yrs,"$152,500"
Disney,Senior Staff Software Engineer,API Development (Back-End),12  yrs,"$326,000"
Buildertrend,Senior Applications Developer,Mobile (iOS + Android),8  yrs,"$117,000"
Tektronix,Senior,Full Stack,11  yrs,"$170,000"
N/A,L1,API Development (Back-End),3  yrs,"$81,750"
SurveyMonkey,Staff Software Engineer,API Development (Back-End),10  yrs,"$243,000"
CCC Intelligent S...,L2,API Development (Back-End),5  yrs,"$125,000"
Eaton,L5,Distributed Systems (Back-End),9  yrs,"$105,000"
N/A,L1,Embedded,2  yrs,"$40,000"
Facebook,E5,Mobile (iOS + Android),7  yrs,"$510,000"
N/A,L5,Testing (SDET),20  yrs,"$175,000"
N/A,hidden,hidden,5-10  yrs,"$220,400"
Kroger,Senior Software Engineer,Full Stack,6  yrs,"$143,800"
Rivian,RIV-6,Data,7  yrs,"$247,000"
ByteDance,2-1,ML / AI,4  yrs,"$338,750"
Snowflake,IC4,Data,12  yrs,"$750,000"
WB Games,L3,Game Development,5  yrs,"$125,000"
N/A,L3,API Development (Back-End),15  yrs,"$192,000"
Northrop Grumman,T3,MBSE,5  yrs,"$113,000"
Flock Safety,Senior,Mobile (iOS + Android),7  yrs,"$215,550"
N/A,-,hidden,9  yrs,"$78,000"
Google,L4,Networking,3  yrs,"$300,188"
OpenAI,L3,Data,2  yrs,"$138,500"
AccuLynx,Tech Lead,Full Stack,12  yrs,"$160,000"
Spectrum,L1,DOCSIS,1  yr,"$69,200"
N/A,hidden,hidden,5-10  yrs,"$113,500"
Parsons,L2,DevOps,3  yrs,"$125,000"
Ginkgo Bioworks,L5,Full Stack,7  yrs,"$200,000"
IBM,Staff Engineer,DevOps,5  yrs,"$147,000"
Veeva Systems,Senior Software Engineer,API Development (Back-End),6  yrs,"$262,000"
PNC,C2,Full Stack,6  yrs,"$121,716"
JPMorgan Chase,Associate,Distributed Systems (Back-End),5  yrs,"$140,000"
Verizon,MTS 4,Web Development (Front-End),5  yrs,"$123,000"
